BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,66,,A1,4453 PARK AVENUE,,10457,1,0,1,"1,646","1,497",1899,1,A1,"215,000",4/18/23
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,66,,A1,4453 PARK AVENUE,,10457,1,0,1,"1,646","1,497",1899,1,A1,"570,000",8/23/23
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3035,52,,A1,461 EAST 178 STREET,,10457,1,0,1,"1,782","1,548",1899,1,A1,0,4/14/23
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,86,,S0,2364 WASHINGTON AVENUE,,10458,1,2,3,"1,911","4,080",1931,1,S0,0,10/24/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904,22,,B9,454 EAST 172 STREET,,10457,2,0,2,"1,658","1,428",1901,1,B9,"350,000",6/26/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904,22,,B9,454 EAST 172ND ST,,10457,2,0,2,"1,658","1,428",1901,1,B9,"500,000",2/8/24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904,22,,B9,454 EAST 172ND STREET,,10457,2,0,2,"1,658","1,428",1901,1,B9,"310,000",8/14/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,144,,B1,3813 3 AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,"763,000",9/7/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,151,,B1,519 EAST 171 STREET,,10457,2,0,2,"2,000","2,400",1993,1,B1,"750,000",5/18/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,125,,B1,1477 CROTONA PLACE,,10456,2,0,2,"1,900","2,394",1994,1,B1,"820,000",11/17/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,3854 3 AVENUE,,10457,2,0,2,"2,883","2,394",1995,1,B1,"815,000",6/7/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,46,,S2,1967 WASHINGTON AVENUE,,10457,2,1,3,"2,728","2,946",1899,1,S2,0,1/11/24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,139,,B1,1985 WASHINGTON AVENUE,,10457,2,0,2,"2,910","2,340",1998,1,B1,"750,000",7/14/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,106,,B1,442 EAST 185 STREET,,10458,2,0,2,"1,500","2,400",1997,1,B1,"698,700",7/28/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3040,15,,B2,462 E 187TH ST,,10458,2,0,2,"1,642","1,820",1910,1,B2,0,6/7/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,16,,B3,2060 BATHGATE AVENUE,,10457,2,0,2,"1,429","1,872",1910,1,B3,"650,000",6/2/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,17,,B2,2064 BATHGATE AVENUE,,10457,2,0,2,"3,493","2,508",1910,1,B2,"693,500",8/17/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,52,,B3,2047 BATHGATE AVENUE,,10457,2,0,2,"2,329","1,431",1901,1,B3,"57,000",10/26/23
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,64,,B2,506 EAST 183,,10458,2,0,2,"1,316","2,112",1901,1,B2,"494,529",3/28/24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,15,,B2,2305 BATHGATE,,10458,2,0,2,"2,358","2,652",1901,1,B2,0,3/19/24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,15,,B2,2305 BATHGATE AVENUE,,10458,2,0,2,"2,358","2,652",1901,1,B2,"470,000",3/14/24
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3031,145,,C0,412 EAST 187,,10458,3,0,3,"1,784","2,302",2004,1,C0,"900,000",10/26/23
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,6,,C0,4686 PARK AVENUE,,10458,3,0,3,"1,404","3,900",2004,1,C0,0,7/3/23
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,6,,C0,4686 PARK AVENUE,,10458,3,0,3,"1,404","3,900",2004,1,C0,0,11/30/23
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,9,,C0,448 CYRUS PLACE,,10458,3,0,3,"2,500","1,960",1910,1,C0,"620,000",9/12/23
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3044,31,,C0,1989 BATHGATE,,10457,3,0,3,"2,085","2,801",2000,1,C0,0,6/20/23
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,29,,C0,2108 BATHGATE,,10457,3,0,3,"1,650","3,316",2005,1,C0,"885,000",3/15/24
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3031,14,,V0,2324 WEBSTER AVENUE,,10458,0,0,0,"7,185",0,,1,V0,0,2/29/24
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3051,7,,V0,2246 BATHGATE AVENUE,,10457,0,0,0,"2,923",0,,1,V0,"5,000",2/22/24
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,2924,6,,C1,1874 BATHGATE AVENUE,,10457,7,0,7,"1,628","5,184",1931,2,C1,"890,000",9/21/23
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2A,3036,53,,C3,2037 WASHINGTON AVENUE,,10457,4,0,4,"7,250","4,187",1899,2,C3,"25,000",4/13/23
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3035,48,,D4,"463 EAST 178 STREET, 1D",,10457,,,,,,1935,2,D4,"98,000",11/20/23
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3035,48,,D4,"463 EAST 178TH STREET, 6B",,10457,,,,,,1935,2,D4,"55,000",9/14/23
2,BATHGATE,22 STORE BUILDINGS,4,3052,11,,K1,4551 THIRD AVENUE,,10458,0,3,3,"5,483","2,680",1924,4,K1,"2,050,000",12/21/23
